"X","Track.Name","Artist","id","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Streams","popularity"
0,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","5Z9KJZvQzH6PFmb8SNkxuk",0.0221,0.741,212353,0.691,0,10,0.0476,-7.395,0,0.0672,150.087,4,0.892,9688481,91
1,"STAY (with Justin Bieber)","The Kid LAROI","5PjdY0CKGZdEuoNab3yDmX",0.0383,0.591,141806,0.764,0,1,0.103,-5.484,1,0.0483,169.928,4,0.478,8460919,93
2,"Knife Talk (with 21 Savage ft. Project Pat)","Drake","2BcMwX1MPV6ZHP4tUT9uq6",0.0635,0.849,242966,0.424,0,5,0.0834,-9.579,0,0.324,145.887,4,0.153,7662116,92
3,"Way 2 Sexy (with Future & Young Thug)","Drake","0k1WUmIRnG3xU6fvvDVfRG",0.000619,0.803,257605,0.597,4.5e-06,11,0.323,-6.035,0,0.141,136.008,4,0.331,7071703,93
4,"Heat Waves","Glass Animals","02MWAaffLxlfxAUY7c5dvx",0.44,0.761,238805,0.525,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,0.531,6799327,92
5,"Need to Know","Doja Cat","3Vi5XqYrmQgOYBajMWSvCi",0.304,0.664,210560,0.609,0,1,0.0926,-6.509,1,0.0707,130.041,4,0.194,5739927,94
6,"good 4 u","Olivia Rodrigo","4ZtFanR9U6ndgddUvNcjcG",0.335,0.563,178147,0.664,0,9,0.0849,-5.044,1,0.154,166.928,4,0.688,5436579,96
7,"family ties (with Kendrick Lamar)","Baby Keem","3QFInJAm9eyaho5vBzxInN",0.00588,0.711,252262,0.611,0,1,0.23,-5.453,1,0.33,134.093,4,0.144,4861562,78
8,"Kiss Me More (feat. SZA)","Doja Cat","3DarAbFujv6eYNliUTyqtz",0.259,0.764,208667,0.705,8.92e-05,8,0.12,-3.463,1,0.0284,110.97,4,0.781,4845232,87
9,"THATS WHAT I WANT","Lil Nas X","0e8nrvls4Qqv5Rfa2UhqmO",0.00614,0.737,143901,0.846,0,1,0.0486,-4.51,0,0.22,87.981,4,0.546,4816183,95
10,"Meet Me At Our Spot","THE ANXIETY","07MDkzWARZaLEdKxo6yArG",0.0153,0.773,162680,0.47,0.000193,2,0.0851,-7.93,1,0.0299,94.995,4,0.399,4726073,92
11,"Fair Trade (with Travis Scott)","Drake","40iJIUlhi6renaREYGeIDS",0.0503,0.666,291175,0.465,0,1,0.215,-8.545,1,0.26,167.937,4,0.292,4684756,92
12,"MONTERO (Call Me By Your Name)","Lil Nas X","1SC5rEoYDGUK4NfG82494W",0.293,0.593,137704,0.503,0,8,0.405,-6.725,0,0.22,178.781,4,0.71,4467801,91
13,"Woman","Doja Cat","6Uj1ctrBOjOas8xZXGqKk4",0.0888,0.824,172627,0.764,0.00294,5,0.117,-4.175,0,0.0854,107.998,4,0.881,4464826,96
14,"2055","Sleepy Hallow","4XvcHTUfIlWfyJTRG0aqlo",0.492,0.829,123987,0.512,0,6,0.12,-5.865,0,0.187,80.511,4,0.638,4248208,88
15,"Happier Than Ever","Billie Eilish","4RVwu0g32PAqgUiJoXsdF8",0.767,0.332,298899,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297,4034722,95
16,"Bad Habits","Ed Sheeran","6PQ88X9TkUIAUIZJHW2upE",0.0469,0.808,231041,0.897,3.14e-05,11,0.364,-3.712,0,0.0348,126.026,4,0.591,4032235,98
17,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy","4gzsuuZypVbxs0Af1LSZyB",0.0889,0.639,207301,0.703,1.78e-06,4,0.0865,-6.33,0,0.0794,169.888,4,0.138,4007529,93
18,"Shivers","Ed Sheeran","75MNhvTCCKsST3YqqUiU9r",0.281,0.788,207853,0.859,0,2,0.0424,-2.724,1,0.0856,141.02,4,0.822,3991219,96
19,"traitor","Olivia Rodrigo","5CZ40GBx1sQ9agT82CLQCT",0.691,0.38,229227,0.339,0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849,3721121,93
20,"Girls Want Girls (with Lil Baby)","Drake","37Nqx7iavZpotJSDXZWbJ3",0.181,0.767,221980,0.438,0,7,0.142,-8.726,0,0.29,86.975,4,0.381,3587925,91
21,"Pepas","Farruko","2B4GHvToeLTOBB4QLzW3Ni",0.00776,0.762,287120,0.766,6.98e-05,7,0.128,-3.955,1,0.0343,130.001,4,0.442,3518055,83
22,"Jugaste y Sufrí","Eslabon Armado","3NqBxTOMCJ3zW9CIP51td4",0.632,0.39,275194,0.499,0.000497,7,0.115,-7.778,1,0.0381,200.156,1,0.34,3481182,87
23,"Dark Red","Steve Lacy","37y7iDayfwm3WXn5BiAoRk",0.449,0.603,173104,0.783,7.96e-06,6,0.119,-4.023,1,0.062,172.041,4,0.775,3438848,89
24,"Levitating (feat. DaBaby)","Dua Lipa","5nujrmhLynf4yMoMtj8AQF",0.00883,0.702,203064,0.825,0,6,0.0674,-3.787,0,0.0601,102.977,4,0.915,3423116,88
25,"Flocky Flocky (feat. Travis Scott)","Don Toliver","25r6MZ4Gtd76l43qnZI1DG",0.0252,0.8,183514,0.541,0,10,0.146,-5.05,0,0.0375,135.99,4,0.194,3402935,82
26,"Beggin'","Måneskin","3Wrjm47oTz2sjIgck11l5e",0.127,0.714,211560,0.8,0,11,0.359,-4.808,0,0.0504,134.002,4,0.589,3402888,96
